Time(ms),ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_deg,pitch_deg,yaw_deg
316457,-0.1362,0.5008,0.8798,0.313,0.718,-0.053,29.767,7.844,108.359
316470,-0.1387,0.5054,0.8701,0.305,0.450,-0.122,29.905,7.851,108.379
316483,-0.1443,0.4998,0.8779,0.290,0.588,0.031,29.812,7.966,108.370
316496,-0.1367,0.5027,0.8718,0.214,0.664,-0.214,29.900,7.854,108.384
316509,-0.1389,0.5052,0.8754,0.374,0.557,0.076,30.036,7.818,108.406
316522,-0.1475,0.5047,0.8740,0.092,0.672,0.092,30.029,7.973,108.410
316535,-0.1375,0.5037,0.8776,0.267,0.595,-0.130,29.950,7.868,108.401
316548,-0.1411,0.4957,0.8681,0.496,0.656,-0.092,29.843,7.961,108.389
316561,-0.1345,0.5071,0.8742,0.122,0.466,-0.115,29.931,7.849,108.402
316574,-0.1404,0.5047,0.8818,0.267,0.710,-0.115,29.800,7.874,108.387
316587,-0.1411,0.4942,0.8766,0.221,0.466,-0.176,29.671,7.917,108.370
316600,-0.1411,0.4986,0.8835,0.092,0.122,-0.015,29.537,7.920,108.352
316613,-0.1418,0.5003,0.8808,0.069,0.511,-0.275,29.642,8.016,108.367
316626,-0.1445,0.5059,0.8793,0.435,0.328,0.046,29.775,8.063,108.387
316639,-0.1438,0.4959,0.8788,0.405,0.473,-0.015,29.646,8.087,108.371
316652,-0.1409,0.5013,0.8793,0.168,0.443,-0.137,29.684,7.948,108.377
316665,-0.1414,0.5062,0.8771,-0.031,0.771,0.008,29.819,7.956,108.401
316678,-0.1392,0.4981,0.8832,0.374,0.321,-0.130,29.698,7.916,108.384
316691,-0.1365,0.5035,0.8788,0.130,0.382,-0.015,29.761,7.785,108.395
316704,-0.1379,0.5015,0.8825,0.275,0.511,-0.023,29.637,7.752,108.381
316717,-0.1401,0.5067,0.8810,0.305,0.344,-0.092,29.767,7.803,108.399
316730,-0.1348,0.5025,0.8769,0.298,0.366,-0.153,29.804,7.663,108.404
316743,-0.1394,0.4971,0.8720,0.137,0.588,-0.130,29.742,7.804,108.398
316756,-0.1443,0.5059,0.8810,0.519,0.534,-0.122,29.807,7.942,108.408
316769,-0.1350,0.5035,0.8808,0.053,0.565,-0.092,29.786,7.804,108.407
316782,-0.1387,0.5069,0.8720,0.527,0.611,-0.221,29.927,7.821,108.427
316795,-0.1421,0.4949,0.8703,0.168,0.458,-0.069,29.821,7.919,108.414
316808,-0.1350,0.4993,0.8784,0.366,0.427,0.015,29.749,7.807,108.407
316821,-0.1433,0.5096,0.8730,0.489,0.481,0.008,29.876,7.873,108.426
316834,-0.1426,0.5035,0.8840,0.397,0.481,-0.053,29.756,7.941,108.412
316847,-0.1406,0.4966,0.8803,0.145,0.527,-0.061,29.624,7.939,108.396
316860,-0.1433,0.5045,0.8810,0.450,0.626,-0.092,29.748,8.013,108.415
316873,-0.1450,0.5042,0.8784,0.130,0.374,0.053,29.837,8.125,108.431
316886,-0.1396,0.4981,0.8796,0.397,0.580,-0.053,29.738,8.045,108.419
316899,-0.1411,0.5005,0.8813,0.130,0.519,-0.130,29.635,7.964,108.406
316912,-0.1421,0.4986,0.8776,0.305,0.511,-0.076,29.556,8.092,108.397
316925,-0.1436,0.5042,0.8801,0.099,0.679,0.145,29.693,8.080,108.422
316938,-0.1440,0.5001,0.8801,0.321,0.489,-0.115,29.564,8.116,108.405
316951,-0.1392,0.5045,0.8786,0.191,0.573,-0.191,29.670,8.022,108.421
316964,-0.1401,0.5020,0.8854,0.290,0.473,0.137,29.598,7.908,108.415
316977,-0.1409,0.5052,0.8740,0.443,0.374,-0.008,29.738,7.924,108.436
316990,-0.1460,0.5010,0.8769,0.328,0.489,0.076,29.745,8.077,108.440
317003,-0.1428,0.5001,0.8806,0.244,0.565,0.183,29.621,8.041,108.428
317016,-0.1375,0.4959,0.8727,0.076,0.641,-0.069,29.614,7.902,108.430
317029,-0.1414,0.5054,0.8757,0.366,0.420,-0.061,29.751,7.927,108.451
317042,-0.1357,0.5057,0.8715,0.328,0.481,-0.031,29.873,7.853,108.470
317055,-0.1343,0.5005,0.8774,0.351,0.771,-0.092,29.806,7.741,108.464
317068,-0.1399,0.5064,0.8774,0.183,0.573,0.023,29.922,7.821,108.483
317081,-0.1338,0.5045,0.8791,0.420,0.450,-0.145,29.893,7.686,108.480
317094,-0.1389,0.4993,0.8769,0.176,0.427,0.076,29.778,7.767,108.467
317107,-0.1360,0.5040,0.8818,0.420,0.679,0.000,29.755,7.632,108.468
317120,-0.1365,0.4984,0.8766,0.565,0.290,-0.015,29.640,7.703,108.453
317133,-0.1440,0.5035,0.8806,0.206,0.244,-0.160,29.686,7.844,108.459
317146,-0.1414,0.5020,0.8784,0.389,0.313,-0.260,29.761,7.971,108.468
317159,-0.1450,0.5015,0.8801,0.237,0.405,-0.115,29.701,8.111,108.460
317172,-0.1375,0.5047,0.8698,0.374,0.420,-0.176,29.819,8.029,108.477
317185,-0.1377,0.5015,0.8732,0.237,0.237,0.061,29.853,7.885,108.483
317198,-0.1394,0.5069,0.8806,0.267,0.435,-0.038,29.960,7.789,108.500
317211,-0.1404,0.4991,0.8749,0.092,0.466,0.008,29.839,7.863,108.486
317224,-0.1436,0.5042,0.8727,0.145,0.366,0.015,29.923,7.980,108.500
